Date,Start Time,Field,Home Team,Away Team
04/02/22,2:30PM,T3,Team_8,Team_1
04/02/22,4:30PM,T3,Team_7,Team_3
04/02/22,2:30PM,T5,Team_5,Team_2
04/02/22,4:30PM,T5,Team_10,Team_11
04/02/22,2:30PM,T6,Team_6,Team_9
04/02/22,4:30PM,T6,Team_12,Team_4

04/09/22,2:30PM,T3,Team_1,Team_12
04/09/22,4:30PM,T3,Team_8,Team_3
04/09/22,2:30PM,T5,Team_9,Team_4
04/09/22,4:30PM,T5,Team_2,Team_10
04/09/22,2:30PM,T6,Team_11,Team_5
04/09/22,4:30PM,T6,Team_6,Team_7

04/23/22,2:30PM,T3,Team_2,Team_8
04/23/22,4:30PM,T3,Team_3,Team_6
04/23/22,2:30PM,T5,Team_12,Team_11
04/23/22,4:30PM,T5,Team_5,Team_4
04/23/22,2:30PM,T6,Team_10,Team_7
04/23/22,4:30PM,T6,Team_1,Team_9

04/30/22,2:30PM,T3,Team_2,Team_4
04/30/22,4:30PM,T3,Team_7,Team_12
04/30/22,2:30PM,T5,Team_1,Team_6
04/30/22,4:30PM,T5,Team_8,Team_5
04/30/22,2:30PM,T6,Team_9,Team_10
04/30/22,4:30PM,T6,Team_3,Team_11

05/07/22,2:30PM,T3,Team_11,Team_4
05/07/22,4:30PM,T3,Team_10,Team_8
05/07/22,2:30PM,T5,Team_1,Team_7
05/07/22,4:30PM,T5,Team_6,Team_12
05/07/22,2:30PM,T6,Team_9,Team_2
05/07/22,4:30PM,T6,Team_5,Team_3

05/14/22,2:30PM,T3,Team_3,Team_10
05/14/22,4:30PM,T3,Team_5,Team_9
05/14/22,2:30PM,T5,Team_11,Team_6
05/14/22,4:30PM,T5,Team_4,Team_7
05/14/22,2:30PM,T6,Team_12,Team_8
05/14/22,4:30PM,T6,Team_2,Team_1

05/21/22,2:30PM,T3,Team_4,Team_6
05/21/22,4:30PM,T3,Team_12,Team_2
05/21/22,2:30PM,T5,Team_3,Team_9
05/21/22,4:30PM,T5,Team_10,Team_1
05/21/22,2:30PM,T6,Team_7,Team_5
05/21/22,4:30PM,T6,Team_11,Team_8

06/04/22,2:30PM,T3,Team_10,Team_5
06/04/22,4:30PM,T3,Team_9,Team_12
06/04/22,2:30PM,T5,Team_8,Team_7
06/04/22,4:30PM,T5,Team_11,Team_1
06/04/22,2:30PM,T6,Team_4,Team_3
06/04/22,4:30PM,T6,Team_6,Team_2

06/11/22,2:30PM,T3,Team_7,Team_11
06/11/22,4:30PM,T3,Team_5,Team_6
06/11/22,2:30PM,T5,Team_2,Team_3
06/11/22,4:30PM,T5,Team_8,Team_9
06/11/22,2:30PM,T6,Team_12,Team_10
06/11/22,4:30PM,T6,Team_4,Team_1

06/18/22,2:30PM,T3,Team_1,Team_5
06/18/22,4:30PM,T3,Team_9,Team_11
06/18/22,2:30PM,T5,Team_3,Team_12
06/18/22,4:30PM,T5,Team_7,Team_2
06/18/22,2:30PM,T6,Team_6,Team_8
06/18/22,4:30PM,T6,Team_4,Team_10

