Date,Start Time,Field,Home Team,Away Team
04/08/22,5:45PM,G1,Team_6,Team_4
04/08/22,5:45PM,G2,Team_2,Team_5
04/08/22,5:45PM,G3,Team_1,Team_3

04/09/22,2:00PM,G1,Team_4,Team_6
04/09/22,2:00PM,G2,Team_5,Team_1
04/09/22,2:00PM,G3,Team_2,Team_3

04/22/22,5:45PM,G1,Team_3,Team_1
04/22/22,5:45PM,G2,Team_6,Team_4
04/22/22,5:45PM,G3,Team_2,Team_5

04/23/22,2:00PM,G1,Team_5,Team_2
04/23/22,2:00PM,G2,Team_6,Team_3
04/23/22,2:00PM,G3,Team_4,Team_1

04/29/22,5:45PM,G1,Team_1,Team_3
04/29/22,5:45PM,G2,Team_5,Team_6
04/29/22,5:45PM,G3,Team_4,Team_2

04/30/22,2:00PM,G1,Team_5,Team_4
04/30/22,2:00PM,G2,Team_3,Team_2
04/30/22,2:00PM,G3,Team_1,Team_6

05/06/22,5:45PM,G1,Team_3,Team_6
05/06/22,5:45PM,G2,Team_1,Team_2
05/06/22,5:45PM,G3,Team_4,Team_5

05/07/22,2:00PM,G1,Team_3,Team_5
05/07/22,2:00PM,G2,Team_2,Team_6
05/07/22,2:00PM,G3,Team_1,Team_4

05/13/22,5:45PM,G1,Team_4,Team_2
05/13/22,5:45PM,G2,Team_5,Team_1
05/13/22,5:45PM,G3,Team_6,Team_3

05/14/22,2:00PM,G1,Team_1,Team_5
05/14/22,2:00PM,G2,Team_3,Team_4
05/14/22,2:00PM,G3,Team_2,Team_6

05/20/22,5:45PM,G1,Team_2,Team_1
05/20/22,5:45PM,G2,Team_3,Team_4
05/20/22,5:45PM,G3,Team_6,Team_5

05/21/22,5:45PM,G1,Team_6,Team_2
05/21/22,5:45PM,G2,Team_4,Team_1
05/21/22,5:45PM,G3,Team_5,Team_3

